node1	label	node2	id
Q155472	PRX_ID_GS	"2608"	Q155472-PRX_ID_GS-"2608"-0000
Q155472	PRX_ID_MMSL	"53010"	Q155472-PRX_ID_MMSL-"53010"-0000
Q155472	PRX_ID_MMSL	"5663"	Q155472-PRX_ID_MMSL-"5663"-0000
Q155472	PRX_ID_MMSL	"d04113"	Q155472-PRX_ID_MMSL-"d04113"-0000
Q155472	PRX_ID_MTHSPL	"80M03YXJ7I"	Q155472-PRX_ID_MTHSPL-"80M03YXJ7I"-0000
Q155472	PRX_ID_NDDF	"006279"	Q155472-PRX_ID_NDDF-"006279"-0000
Q155472	PRX_ID_SPL_SET_ID	"000dc81d-ab91-450c-8eae-8eb74e72296f"	Q155472-PRX_ID_SPL_SET_ID-"000dc81d-ab91-450c-8eae-8eb74e72296f"-0000
Q155472	PRX_ID_SPL_SET_ID	"00743170-275e-43b2-8728-bef3c788aa0f"	Q155472-PRX_ID_SPL_SET_ID-"00743170-275e-43b2-8728-bef3c788aa0f"-0000
Q155472	PRX_ID_SPL_SET_ID	"0135bbe4-0b38-4e92-8d7c-a4da3b6a544e"	Q155472-PRX_ID_SPL_SET_ID-"0135bbe4-0b38-4e92-8d7c-a4da3b6a544e"-0000
Q155472	PRX_ID_SPL_SET_ID	"05516ebb-f430-4431-ad4f-59acdb18e72e"	Q155472-PRX_ID_SPL_SET_ID-"05516ebb-f430-4431-ad4f-59acdb18e72e"-0000
Q155472	PRX_ID_SPL_SET_ID	"09c55798-5313-4250-8d8f-9c5644e8c1b0"	Q155472-PRX_ID_SPL_SET_ID-"09c55798-5313-4250-8d8f-9c5644e8c1b0"-0000
Q155472	PRX_ID_SPL_SET_ID	"0ff36e83-b307-42db-a2ab-bae3f6805c20"	Q155472-PRX_ID_SPL_SET_ID-"0ff36e83-b307-42db-a2ab-bae3f6805c20"-0000
Q155472	PRX_ID_SPL_SET_ID	"13fb8c27-0a47-4cfa-a217-29cd6d14c4b8"	Q155472-PRX_ID_SPL_SET_ID-"13fb8c27-0a47-4cfa-a217-29cd6d14c4b8"-0000
Q155472	PRX_ID_SPL_SET_ID	"15ba7c1c-dd10-4d09-b6e2-284c1b67f4da"	Q155472-PRX_ID_SPL_SET_ID-"15ba7c1c-dd10-4d09-b6e2-284c1b67f4da"-0000
Q155472	PRX_ID_SPL_SET_ID	"167f49f0-2d39-49a2-9f9e-1359a7c7ba3d"	Q155472-PRX_ID_SPL_SET_ID-"167f49f0-2d39-49a2-9f9e-1359a7c7ba3d"-0000
Q155472	PRX_ID_SPL_SET_ID	"18d7820d-471f-4ee2-9ec6-25d8d27c77de"	Q155472-PRX_ID_SPL_SET_ID-"18d7820d-471f-4ee2-9ec6-25d8d27c77de"-0000
Q155472	PRX_ID_SPL_SET_ID	"1bace05a-ac18-4bf4-97b3-641ad1e6fd78"	Q155472-PRX_ID_SPL_SET_ID-"1bace05a-ac18-4bf4-97b3-641ad1e6fd78"-0000
Q155472	PRX_ID_SPL_SET_ID	"1bbdcc66-c8c0-4710-a447-d12cc78b5aa8"	Q155472-PRX_ID_SPL_SET_ID-"1bbdcc66-c8c0-4710-a447-d12cc78b5aa8"-0000
Q155472	PRX_ID_SPL_SET_ID	"1f6ab5e0-8320-4489-bed2-8c90c534e5ae"	Q155472-PRX_ID_SPL_SET_ID-"1f6ab5e0-8320-4489-bed2-8c90c534e5ae"-0000
Q155472	PRX_ID_SPL_SET_ID	"251ccff4-bf86-453b-9d1c-e3c1ecfd3a46"	Q155472-PRX_ID_SPL_SET_ID-"251ccff4-bf86-453b-9d1c-e3c1ecfd3a46"-0000
Q155472	PRX_ID_SPL_SET_ID	"26080940-bcd3-446d-9026-3ddfb58e281e"	Q155472-PRX_ID_SPL_SET_ID-"26080940-bcd3-446d-9026-3ddfb58e281e"-0000
Q155472	PRX_ID_SPL_SET_ID	"2691d0c2-5c6e-472b-bfe1-099b2d47fd7f"	Q155472-PRX_ID_SPL_SET_ID-"2691d0c2-5c6e-472b-bfe1-099b2d47fd7f"-0000
Q155472	PRX_ID_SPL_SET_ID	"27e6e580-4127-41db-ba01-9cfba0e61d6c"	Q155472-PRX_ID_SPL_SET_ID-"27e6e580-4127-41db-ba01-9cfba0e61d6c"-0000
Q155472	PRX_ID_SPL_SET_ID	"29c0e001-4855-4903-aa1d-64e4dd155b8a"	Q155472-PRX_ID_SPL_SET_ID-"29c0e001-4855-4903-aa1d-64e4dd155b8a"-0000
Q155472	PRX_ID_SPL_SET_ID	"2a29600b-500c-403e-b407-023da4381fbb"	Q155472-PRX_ID_SPL_SET_ID-"2a29600b-500c-403e-b407-023da4381fbb"-0000
Q155472	PRX_ID_SPL_SET_ID	"2da09890-cbb1-a473-cf31-ef78a8b1b350"	Q155472-PRX_ID_SPL_SET_ID-"2da09890-cbb1-a473-cf31-ef78a8b1b350"-0000
Q155472	PRX_ID_SPL_SET_ID	"34dade80-c1df-44f9-86ab-16bb110a1a57"	Q155472-PRX_ID_SPL_SET_ID-"34dade80-c1df-44f9-86ab-16bb110a1a57"-0000
Q155472	PRX_ID_SPL_SET_ID	"35086164-bf92-4b3c-9845-f8cd7464c7d6"	Q155472-PRX_ID_SPL_SET_ID-"35086164-bf92-4b3c-9845-f8cd7464c7d6"-0000
Q155472	PRX_ID_SPL_SET_ID	"356d67da-e879-4409-b8e5-fd06d78d361e"	Q155472-PRX_ID_SPL_SET_ID-"356d67da-e879-4409-b8e5-fd06d78d361e"-0000
Q155472	PRX_ID_SPL_SET_ID	"3768e597-46db-43ab-ac89-f7ddcc2423ce"	Q155472-PRX_ID_SPL_SET_ID-"3768e597-46db-43ab-ac89-f7ddcc2423ce"-0000
Q155472	PRX_ID_SPL_SET_ID	"3b80f726-9e1e-4d44-ad4f-afd10e26292f"	Q155472-PRX_ID_SPL_SET_ID-"3b80f726-9e1e-4d44-ad4f-afd10e26292f"-0000
Q155472	PRX_ID_SPL_SET_ID	"3ba1f9f9-0037-4522-8605-e27dc8552b5b"	Q155472-PRX_ID_SPL_SET_ID-"3ba1f9f9-0037-4522-8605-e27dc8552b5b"-0000
Q155472	PRX_ID_SPL_SET_ID	"3bb9dd10-e07c-4433-b6a7-c1c6fc4f05a7"	Q155472-PRX_ID_SPL_SET_ID-"3bb9dd10-e07c-4433-b6a7-c1c6fc4f05a7"-0000
Q155472	PRX_ID_SPL_SET_ID	"3ea2256a-0165-48d5-9d66-eabb83df3620"	Q155472-PRX_ID_SPL_SET_ID-"3ea2256a-0165-48d5-9d66-eabb83df3620"-0000
Q155472	PRX_ID_SPL_SET_ID	"411caa05-5eff-4285-a940-7f6d2429ba81"	Q155472-PRX_ID_SPL_SET_ID-"411caa05-5eff-4285-a940-7f6d2429ba81"-0000
Q155472	PRX_ID_SPL_SET_ID	"4550d1b0-0462-418a-9fa3-aaa0c1763780"	Q155472-PRX_ID_SPL_SET_ID-"4550d1b0-0462-418a-9fa3-aaa0c1763780"-0000
Q155472	PRX_ID_SPL_SET_ID	"4d373996-1f9b-5336-e054-00144ff8d46c"	Q155472-PRX_ID_SPL_SET_ID-"4d373996-1f9b-5336-e054-00144ff8d46c"-0000
Q155472	PRX_ID_SPL_SET_ID	"4e2fae79-b8e0-4467-a684-871ba46852be"	Q155472-PRX_ID_SPL_SET_ID-"4e2fae79-b8e0-4467-a684-871ba46852be"-0000
Q155472	PRX_ID_SPL_SET_ID	"4fb27c2d-fb98-4701-a62e-3581bc50c713"	Q155472-PRX_ID_SPL_SET_ID-"4fb27c2d-fb98-4701-a62e-3581bc50c713"-0000
Q155472	PRX_ID_SPL_SET_ID	"592d1cfd-8045-3cd3-e053-2991aa0a88f2"	Q155472-PRX_ID_SPL_SET_ID-"592d1cfd-8045-3cd3-e053-2991aa0a88f2"-0000
Q155472	PRX_ID_SPL_SET_ID	"5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe"	Q155472-PRX_ID_SPL_SET_ID-"5dbb43b1-3ea4-4fa5-a9aa-95d869ae65fe"-0000
Q155472	PRX_ID_SPL_SET_ID	"5dda5839-b76b-4178-ac46-190f3c85ee1d"	Q155472-PRX_ID_SPL_SET_ID-"5dda5839-b76b-4178-ac46-190f3c85ee1d"-0000
Q155472	PRX_ID_SPL_SET_ID	"5ddba454-f3e6-43c2-a7a6-58365d297213"	Q155472-PRX_ID_SPL_SET_ID-"5ddba454-f3e6-43c2-a7a6-58365d297213"-0000
Q155472	PRX_ID_SPL_SET_ID	"5ed6f8bd-baa0-45b9-96f8-980d5a09a683"	Q155472-PRX_ID_SPL_SET_ID-"5ed6f8bd-baa0-45b9-96f8-980d5a09a683"-0000
Q155472	PRX_ID_SPL_SET_ID	"5ee97546-2a7c-40fa-9e05-b7993a72dfbf"	Q155472-PRX_ID_SPL_SET_ID-"5ee97546-2a7c-40fa-9e05-b7993a72dfbf"-0000
Q155472	PRX_ID_SPL_SET_ID	"60180100-4f42-2aad-e053-2991aa0a4494"	Q155472-PRX_ID_SPL_SET_ID-"60180100-4f42-2aad-e053-2991aa0a4494"-0000
Q155472	PRX_ID_SPL_SET_ID	"62ee362f-3032-4f56-a900-4d2485b8759c"	Q155472-PRX_ID_SPL_SET_ID-"62ee362f-3032-4f56-a900-4d2485b8759c"-0000
Q155472	PRX_ID_SPL_SET_ID	"67525841-7d25-a811-e053-2a91aa0aa811"	Q155472-PRX_ID_SPL_SET_ID-"67525841-7d25-a811-e053-2a91aa0aa811"-0000
Q155472	PRX_ID_SPL_SET_ID	"6894085d-6076-4e2e-8105-a9bbb0bd93ef"	Q155472-PRX_ID_SPL_SET_ID-"6894085d-6076-4e2e-8105-a9bbb0bd93ef"-0000
Q155472	PRX_ID_SPL_SET_ID	"691e1d1b-c8a9-5b24-e053-2991aa0aa76a"	Q155472-PRX_ID_SPL_SET_ID-"691e1d1b-c8a9-5b24-e053-2991aa0aa76a"-0000
Q155472	PRX_ID_SPL_SET_ID	"6a33116d-1ee8-4761-8a21-ad80ac26f9df"	Q155472-PRX_ID_SPL_SET_ID-"6a33116d-1ee8-4761-8a21-ad80ac26f9df"-0000
